Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,IND,External balance on goods and services (% of GDP),-0.906450288,-0.876495486,-0.979895086,-0.696608417,-1.785564133,-2.791176225,-3.188597655,-4.086869182,-5.173505919,-5.471830894,-4.45334,-6.543057374,-6.724860406,-2.982409346,-2.986259731,-2.296535553,-1.766015892,-3.158967276,-3.761312135,-2.576873736,-0.39315147,-2.624772123,-3.564344295,-2.070641532
China,CHN,External balance on goods and services (% of GDP),2.376380699,2.096924107,2.542074508,2.157534713,2.617151257,5.451833577,7.591203379,8.676270076,7.592663521,4.314851605,3.653587778,2.395474104,2.717522082,2.454133296,2.11490586,3.24399043,2.27434509,1.752140736,0.658422971,0.929888597,2.417982697,2.585956796,3.231483922,2.169373414
United States,USA,External balance on goods and services (% of GDP),-3.717440097,-3.560286598,-4.023612906,-4.555992476,-5.190560911,-5.674444523,-5.692506787,-5.084436973,-5.016099676,-2.895089517,-3.537172076,-3.715551011,-3.393737038,-2.834322521,-2.890140911,-2.865916674,-2.676279332,-2.770376169,-2.871137611,-2.688041365,-2.937637616,-3.637525949,-3.77219906,
