Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,IND,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",,,,,,,,,,,,9.140000343,,,,,10.14317036,,10.77999973,12.01603985,12.22000027,,12.14000034,13.22999954
China,CHN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",,,,,,,,,,,3.579999924,,,,,,,,,,7.679999828,,,
United States,USA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",,,,,,,,,,,29.9961319,30.41815567,31.05618668,31.65999985,31.95999908,32.5,33.43999863,32.01588058,34.99000168,36.05515289,37.52000046,35.04922867,37.65999985,38.5680275
