Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,IND,Real interest rate (%),8.342610831,8.591449296,7.907177189,7.30788116,4.910128303,4.855145172,2.570606702,5.681844065,3.77175625,4.808592108,-1.983859221,1.317980862,2.473520489,3.865992863,6.69517609,7.556488414,6.232711415,5.327608862,5.36166639,6.894875427,4.135999578,0.316945144,1.704610929,
China,CHN,Real interest rate (%),3.710664082,3.72666389,4.679724345,2.638146636,-1.282811705,1.613277503,2.110577727,-0.259570586,-2.305615343,5.531122909,-1.002401214,-1.402428747,3.585203529,3.755387055,4.522308432,4.353072252,2.901815389,0.112553973,0.821501872,3.024384821,3.838601204,-0.193517051,2.51931098,4.911876235
United States,USA,Real interest rate (%),6.813792459,4.567138944,3.073247242,2.10659449,1.607680461,2.960875213,4.72786367,5.199863763,3.10104222,2.617077655,2.010282621,1.162898652,1.36246375,1.522213389,1.482561391,2.310514641,2.537232299,2.26529638,2.554749875,3.544497457,2.194566423,-1.276233311,,
